"Agency Name:","County of Court","Submitted","Nature of the investigation","Order Served on","Business Name","Items to be searched for:","Start Date for Info","End Date for Info","Grounds for Issuance","Reasons for Delay (if any)","Emergency?","Facts giving rise to the emergency"
"San Bernardino County Sheriff's Department, Specialized Enforcement Division","San Bernardino","03/23/2017 - 11:01","Criminal Investigation ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-01-01","2017-01-16","tends to show that a felony has been committed or that a particular person has committed a felony
Warrant for Arrest: Terrence Brown 
","lead to flight from prosecution","Yes","Murder Suspect "
"San Bernardino County Sheriff's Department, Specialized Enforcement Division","San Bernardino","03/23/2017 - 11:09","Criminal Investigation ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-01-01","2017-02-16","tends to show that a felony has been committed or that a particular person has committed a felony
Warrant for Arrest: Terrence Brown
","lead to flight from prosecution","Yes","Murder Suspect"
"San Bernardino County Sheriff's Department, Specialized Enforcement Division ","San Bernardino","03/23/2017 - 11:18","Criminal Investigation ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-12-22","2017-01-21","tends to show that a felony has been committed or that a particular person has committed a felony
Warrant for Arrest: Terrence Brown 
","lead to flight from prosecution","Yes","Murder Suspect "
"San Bernardino County Sheriff's Department, Specalized Enforcement Division ","San Bernardino","03/23/2017 - 11:37","Criminal Investigation ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-12-22","2017-01-22","tends to show that a felony has been committed or that a particular person has committed a felony
Warrant for Arrest: Terrence Brown 
","lead to flight from prosecution","Yes","Murder Suspect "
"San Bernardino County Sheriff's Department","San Bernardino","03/23/2017 - 11:44","Criminal Investigation ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-10-01","2017-01-12","tends to show that a felony has been committed or that a particular person has committed a felony
Warrant for Arrest: Terrence Brown 
","lead to flight from prosecution","Yes","Murder Suspect "
"San Bernardino County Sheriff's Department","San Bernardino","03/23/2017 - 11:53","Criminal Investigation ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-01-01","2017-01-22","tends to show that a felony has been committed or that a particular person has committed a felony
Warrant for Arrest
","lead to flight from prosecution","Yes","Murder Suspect "
"Santa Clara Police Department","Santa Clara","03/24/2017 - 10:44","The suspect left a cell phone at the scene of an auto burglary/auto theft scene.","Device Only"," ","Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2017-02-01","2017-02-17","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Sacramento Sheriff's Department","Sacramento","03/24/2017 - 11:45","Homicide per PC 187","Device Only"," ","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2007-03-27","2017-03-16","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"San Bernardino County Sheriff's Department","San Bernardino","03/24/2017 - 11:49","Criminal Investigation ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Communications (email, text, voice mail, or other communication)
","2017-02-03","2017-03-04","tends to show that a felony has been committed or that a particular person has committed a felony
will assist in locating an indivigual who has or is commiting a felony
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Menlo Park PD","San Mateo","03/24/2017 - 16:41","Pennsylvania Crimes Code Title 18 Sections 3211.1(a)(1) – “A person commits a felony of the second degree when that person engages in sexual intercourse with a complainant to whom the person is not married who is under the age of 16 years and that person is four years older but less than eight years older than the complainant” (The PA Crimes Code defines “sexual intercourse” and states that, in addition to its ordinary meaning, includes “intercourse per os or per anus, with some penetration, however slight.”), 3126(a)(8) - that “A person is guilty of Indecent Assault if the person has contact with the person or intentionally causes the complainant to come into contact with seminal fluid, urine or feces for the purpose of arousing sexual desire in the person or the complainant and: the complainant is less than 16 years of age and the person is four or more years older than the complainant and the complainant and the person are not married to each other”, and 6318(a)(1) – “A person commits an offense if he is intentionally in contact with a minor for the purpose of engaging in an activity prohibited under” any of the offenses enumerated in Chapter 31 (relating to sexual offenses) of the PA Crimes Code.”  

Had this incident occurred in California, it would constitute felony violations of California Penal Code Sections 288a(b)(1) - Except as provided in Section 288, any person who participates in an act of oral copulation with another person who is under 18 years of age shall be punished by imprisonment in the state prison, or in a county jail for a period of not more than one year (Felony), 288.3(a) - Every person who contacts or communicates with a minor, or attempts to contact or communicate with a minor, who knows or reasonably should know that the person is a minor, with intent to commit an offense specified in Section 207, 209, 261, 264.1, 273a, 286, 288, 288a, 288.2, 289, 311.1, 311.2, 311.4 or 311.11 involving the minor shall be punished by imprisonment in the state prison for the term prescribed for an attempt to commit the intended offense (Felony).
","Business","Facebook Inc.","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2014-01-01","2015-12-31","tends to show that a felony has been committed or that a particular person has committed a felony","endanger the life or physical safety of an individual
lead to destruction of or tampering with evidence
","No"," "
"Menlo Park PD","San Mateo","03/24/2017 - 16:43","Pennsylvania Crimes Code Title 18 Sections 3211.1(a)(1) – “A person commits a felony of the second degree when that person engages in sexual intercourse with a complainant to whom the person is not married who is under the age of 16 years and that person is four years older but less than eight years older than the complainant” (The PA Crimes Code defines “sexual intercourse” and states that, in addition to its ordinary meaning, includes “intercourse per os or per anus, with some penetration, however slight.”), 3126(a)(8) - that “A person is guilty of Indecent Assault if the person has contact with the person or intentionally causes the complainant to come into contact with seminal fluid, urine or feces for the purpose of arousing sexual desire in the person or the complainant and: the complainant is less than 16 years of age and the person is four or more years older than the complainant and the complainant and the person are not married to each other”, and 6318(a)(1) – “A person commits an offense if he is intentionally in contact with a minor for the purpose of engaging in an activity prohibited under” any of the offenses enumerated in Chapter 31 (relating to sexual offenses) of the PA Crimes Code.”  

Had this incident occurred in California, it would constitute felony violations of California Penal Code Sections 288a(b)(1) - Except as provided in Section 288, any person who participates in an act of oral copulation with another person who is under 18 years of age shall be punished by imprisonment in the state prison, or in a county jail for a period of not more than one year (Felony), 288.3(a) - Every person who contacts or communicates with a minor, or attempts to contact or communicate with a minor, who knows or reasonably should know that the person is a minor, with intent to commit an offense specified in Section 207, 209, 261, 264.1, 273a, 286, 288, 288a, 288.2, 289, 311.1, 311.2, 311.4 or 311.11 involving the minor shall be punished by imprisonment in the state prison for the term prescribed for an attempt to commit the intended offense (Felony).
","Business","Facebook Inc.","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2014-01-01","2016-12-31","tends to show that a felony has been committed or that a particular person has committed a felony","endanger the life or physical safety of an individual
lead to destruction of or tampering with evidence
","No"," "
"Sacramento County Sheriff's Department","Sacramento","03/27/2017 - 08:33","Homicide investigation in to the death of Anthony Emerson","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Communications (email, text, voice mail, or other communication)
","2016-12-25","2016-12-29","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
","No"," "
"Riverside County Sheriff's Department","Riverside","03/27/2017 - 08:57","Fraud, due to a stolen and forged check, used to make a payment on a student loan","Business","Great Lakes Student Loan","Other transactional and account records from a service provider","2016-05-09","2016-05-09","was used as the means of committing a felony"," ","No"," "
"Fresno County Sheriff's Office","Fresno","03/27/2017 - 14:35","Information related to a commercial burglary.","Device Only"," ","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-02-13","2017-02-13","was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
","lead to flight from prosecution","No"," "
"California Highway patrol","Los Angeles","03/28/2017 - 05:33","Felony Evading Incident","Device Only"," ","Stored files (picture, documents, or other files)","2017-03-10","2017-03-11","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Ventura County Sheriff","Ventura","03/28/2017 - 08:49","Homicide Investigation","Device Only"," ","Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-12-01","2016-12-25","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Kern County Sheriff Office","Kern","03/28/2017 - 09:11","Homicide Investigation","Business","Facebook","Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2015-09-02","2015-12-30","is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery","lead to destruction of or tampering with evidence","No"," "
"Sacramento Police Department","Sacramento","03/28/2017 - 14:37","Subject with felony warrant","Device Only"," ","Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
","2016-12-16","2017-01-11","active felony warrant","lead to flight from prosecution","No"," "
"University of California Riverside Police Department","Riverside","03/28/2017 - 14:56","On 02/04/17 V/Cousins reported that his credit card information had been used to order food and V/Cousins knew who made the order.  V/Grodz was contacted and she provided screen shots of the SnapChat conversation to show that the credit card number was given to her by the suspect to use.  V/Grodz and V/Gardella sent the suspect nude photos of themselves in return for using the credit card information.  After V/Grodz used the credit card the suspect told them that it was stolen and he lied about who he was.  V/Gardella received an additional text from the suspect demanding further nude photos from her or he would use the ones he already had and post them to social media sites. V/Gardella did not send any additional photos. 












","Business","Snap Inc.","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2017-01-27","2017-02-24","was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
A provider of electronic communication service or remote computing service has records of evidence per 1524.3 PC
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Orange County Sheriff's Department","Orange","03/28/2017 - 15:58","Murder of victim Frederick Temple","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-09-01","2017-02-28","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence","No"," "
"Los Angeles Police Department","Los Angeles","03/28/2017 - 16:09","Telephonic Threat to High School using phone number (213) 807-0152.","Device Only"," ","Basic subscriber information from a service provider","2016-08-03","2016-08-03","was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence","No"," "
"Riverside County Sheriff's Department","Riverside","03/29/2017 - 09:02","Two commercial burglaries that occurred on 02/18/17 in the 73000 block of El Paseo, Palm Desert, CA.","Business","AT&T, Verizon Wireless, T-Mobile, Sprint","Call detail records with Cellular Site Location","2017-02-18","2017-02-18","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Los Angeles Police Department","Los Angeles","03/29/2017 - 09:51","There is a warrant to arrest the person, and efforts to locate the person named on the warrant through conventional investigative means have been unsuccessful.","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
","2016-12-08","2017-03-08","There is a warrant to arrest the person","lead to flight from prosecution","No"," "
"City of Redding Police","Shasta","03/29/2017 - 09:59","Drug sales investigation","Device Only"," ","Basic subscriber information from a service provider
 Addressing information (pen register or trap and trace)
 Location information
","2016-11-07","2016-12-07","was used as the means of committing a felony
 is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
 tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"Santa Maria Police Department","Santa Barbara","03/29/2017 - 10:00","Investigation into the attempted murder that occurred on 03/06/17 at 215 E. Oak St.","Device Only"," ","Stored files (picture, documents, or other files)","2017-02-06","2017-03-06","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"San Francisco Police Department","San Francisco","03/29/2017 - 11:39","Homicide","Business","Metro PCS","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-08-01","2017-12-20","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
","No"," "
"City of Clovis, CA - Police Department","Fresno","03/29/2017 - 14:36","The investigation associated with this search warrant pertains to internet based fraud involving theft by false pretenses.","Business","Google","Communications (email, text, voice mail, or other communication)
IP Addresses
","2016-01-14","2016-06-30","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence","No"," "
"DEA","Los Angeles","03/29/2017 - 15:50","Narcotics trafficking ","Device Only"," ","Basic subscriber information from a service provider
Location information
","2016-10-04","2016-10-13","was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Orange County Sheriff's Department","Orange","03/29/2017 - 16:02","network Intrusion","Business","Cox Communications, Inc","Basic subscriber information from a service provider","2017-01-01","2017-02-28","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
A provider of elecronic communication service or remote comuting service has records of evidence, as specified in PC 1524.3
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Orange County Sheriff's Department","Orange","03/29/2017 - 16:04","Network Intrusion","Business","Cox Communication, Inc","Basic subscriber information from a service provider","2017-01-01","2017-02-28","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
A provider of elecronic communication service or remote comuting service has records of evidence, as specified in PC 1524.3
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Orange County Sheriff's Department","Orange","03/29/2017 - 16:07","Network Intrusion","Business","Cox Communication, Inc","Basic subscriber information from a service provider","2017-01-01","2017-02-28","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
A provider of elecronic communication service or remote comuting service has records of evidence, as specified in PC 1524.3
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"University of California, Irvine Police Department","Orange","03/29/2017 - 16:15","Grand Theft","Business","Apple Inc.","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
","2017-02-02","2017-03-29","was stolen or embezzled"," ","No"," "
"University of California, Irvine Police Department","Orange","03/29/2017 - 16:17","Grand Theft","Business","Apple Inc.","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
","2017-02-09","2017-03-29","was stolen or embezzled"," ","No"," "
"Drug Enforcement Administration","Los Angeles","03/29/2017 - 16:23","narcotics trafficking.","Device Only"," ","Basic subscriber information from a service provider
Location information
","2017-02-02","2017-02-11","was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Drug Enforcement Administration","Los Angeles","03/29/2017 - 16:53","narcotics trafficking","Device Only"," ","Basic subscriber information from a service provider
Location information
","2017-02-03","2017-02-12","was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"California Highway Patrol","Yolo","03/30/2017 - 08:17","Theft of cargo including laptops from truck and trailer. ","Business","Microsoft corporation","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2017-01-19","2017-03-24","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Sacramento Sheriff's Department","Sacramento","03/30/2017 - 11:50","Homicide per PC 187","Device Only"," ","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-02-01","2016-04-20","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Sacramento Sheriff's Department","Sacramento","03/30/2017 - 11:57","Homicide per PC 187","Device Only"," ","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-01-01","2017-12-20","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"San Jose Police Department","Santa Clara","03/30/2017 - 16:50","Cell phone located in the street in front of the home involved in a home invasion armed robbery. Unknown if the phone was dropped by a suspect fleeing the scene. Cell phone was submitted to the Santa Clara County Crime Lab. ","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-12-01","2016-12-31","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence","No"," "
"Tehama County Sheriff's Office","Tehama","04/03/2017 - 10:52","Officer involved shooting, Northbound I-5, South of Sunset Hills, Cottonwood, CA 96022. ","Device Only"," ","Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2017-01-01","2017-03-29","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"ANTIOCH PD","Contra Costa","04/03/2017 - 11:54","THE MURDER OF DAVID PEARSON","Device Only"," ","Stored files (picture, documents, or other files)","2017-03-27","2017-04-02","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Sacramento County Sheriff's Department","Sacramento","04/03/2017 - 11:56","Sungaya FLEMING's homicide investigation","Device Only"," ","Basic subscriber information from a service provider
 Other transactional  and account records from a service provider
 Location information
 Communications (email
 text
 voice mail
 or other communication)
","2016-11-12","2016-12-15","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"SFPD","San Francisco","04/03/2017 - 11:59","Assault with firearm","Device Only"," ","Location information","2017-02-23","2017-03-05","was used as the means of committing a felony"," ","No"," "
"Orange County Sheriff's Department","Orange","04/04/2017 - 06:06","A fatal traffic collision which occurred on 05-05-16, at about 0336 hours, east of Overlake Drive on Lake Forest Drive in the city of Lake Forest.","Device Only"," ","Location information
 Stored files (picture
 Addressing information (pen register or trap and trace)
 documents
 or other files)
 Communications (email
 text
 voice mail
 or other communication)
 Basic subscriber information from a service provider
 Other transactional  and account records from a service provider
","2016-05-04","2016-05-05","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"lapd","Los Angeles","04/04/2017 - 06:07","narcotic investiation","Device Only"," ","Location information","2016-12-15","2017-01-14","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"LAPD","Los Angeles","04/04/2017 - 06:09","Narcotic investigation","Device Only"," ","Location information","2016-12-15","2017-01-14","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Riverside Police Department","Riverside","04/04/2017 - 14:26","On line threats and extortion","Business","Facebook","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Communications (email, text, voice mail, or other communication)
","2016-06-01","2016-07-31","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Tulare County Sheriff's Department","Tulare","04/04/2017 - 14:47","Homicide ","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-10-28","2017-03-28","was used as the means of committing a felony","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Tulare County Sheriff's Department","Tulare","04/04/2017 - 14:49","Homicide ","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2017-02-10","2017-03-10","was used as the means of committing a felony"," ","No"," "
"Tulare County Sheriff's Department","Tulare","04/04/2017 - 15:01","Homicide","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2017-02-10","2017-03-16","tends to show that a felony has been committed or that a particular person has committed a felony","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Tulare County Sheriff's Department","Tulare","04/04/2017 - 15:03","Homicide","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2017-02-10","2017-03-16","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"California Highway Patrol","Santa Clara","04/04/2017 - 15:37","Records or information concerning your electronic communication and/or device information held by the entity
named in the search warrant was sought by the Regional Enforcement Allied Computer Team pursuant to a search warrant issued on 04/04/2017 in Santa Clara County.
These records were requested for a criminal investigation pertaining criminal conspiracy in conjunction with computer based fraud that occurred within Santa Clara County during the first third of 2017.
These records sought involve subscriber information, financial/billing records, electronic communication, stored data,
connection logs, and transaction records, with my searching for records that specifically relate to the above mentioned
investigation.","Business","Google and TextPlus","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2017-01-01","2017-04-04","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence","No"," "
"L.A. IMPACT","Los Angeles","04/04/2017 - 16:50","Narcotics Investigation","Device Only"," ","Location information
Communications (email, text, voice mail, or other communication)
","2017-01-05","2017-02-03","is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"L.A. IMPACT","Los Angeles","04/04/2017 - 17:16","Narcotics Investigation","Device Only"," ","Location information","2017-01-15","2017-02-14","was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Folsom PD","Sacramento","04/05/2017 - 08:54","Identity Theft Investigation--530.5 PC.  Unlawful use of credit card.","Business"," ","Basic subscriber information from a service provider
 Communications (email
 text
 voice mail
 or other communication)
 Other transactional  and account records from a service provider
 Location information
","2016-08-02","2016-08-25","was used as the means of committing a felony"," ","No"," "
"San Luis Obispo County Sheriff's Office","San Luis Obispo","04/05/2017 - 08:58","Leanne Briggs had a felony arrest warrant for her arrest.","Device Only"," ","GPS Precision Location for (805) 867-1246","2017-03-29","2017-04-04","There was a warrant for the person's arrest","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"VENTURA POLICE DEPARTMENT","Ventura","04/05/2017 - 10:31","This search warrant is addressed to Sprint, ATT, T-Mobil, Metro PCS, and Verizon . Communication data was requested and received.
This Affidavit and search warrant was sealed by the Honorable Judge McGee (Ventura County Superior Court).","Business"," ","Communications (email
 text
 voice mail
 or other communication)
","2016-03-20","2016-03-20","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento County Sheriff","Sacramento","04/05/2017 - 10:31","Homicide","Device Only"," ","Stored files (picture
 documents
 or other files)
 Communications (email
 text
 voice mail
 or other communication)
","2001-01-01","2016-09-28","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
 otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Ventura County Sheriff's Department","Alameda","04/05/2017 - 11:31","Sales of narcotics.  Entire search warrant order sealed by court.","Business"," ","Basic subscriber information from a service provider
 Location information
","2016-09-21","2016-10-01","was used as the means of committing a felony
 is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
 tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
 lead to destruction of or tampering with evidence
 otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Riverside Sheriff","Riverside","04/05/2017 - 11:49","Burglary ","Business","Pinger Inc","Basic subscriber information from a service provider
Communications (email, text, voice mail, or other communication)
","2016-11-27","2016-12-15","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
","No"," "
"Sacramento Sheriff's Department","Sacramento","04/05/2017 - 12:43","Homicide","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2017-01-01","2017-03-31","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"L.A. IMPACT","Los Angeles","04/05/2017 - 12:50","Narcotics Investigation","Device Only"," ","Location information","2017-01-04","2017-02-03","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Newark Police Department","Alameda","04/05/2017 - 14:59","Possession of Child Pornography.","Business","Yahoo!","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
","2017-01-30","2017-04-05","tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Newark Police Department","Alameda","04/05/2017 - 15:02","Possession of Child Pornography.","Business","Comcast","Basic subscriber information from a service provider
Other transactional and account records from a service provider
","2017-01-30","2017-04-05","tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
