,Agency Name:,County of Court,Submitted,Nature of the investigation,Order Served on,Business Name,Items to be searched for:,Start Date for Info,End Date for Info,Grounds for Issuance,Reasons for Delay (if any),Emergency?,Facts giving rise to the emergency
305,Los Angeles Police Department,Los Angeles,03/16/2017 - 10:02,187 PC Murder,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-01-01,2016-05-10,is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
306,Los Angeles Police Department,Los Angeles,03/16/2017 - 10:04,187 PC Murder,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-10-01,2016-12-14,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
307,Los Angeles Police Department,Los Angeles,03/16/2017 - 10:07,187 PC Murder,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-10-01,2017-01-06,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
308,Los Angeles School Police Department,Los Angeles,03/16/2017 - 12:09,Bomb threat to a school.,Business,Instagram,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-01-15,2017-02-01,provider of electronic communication service has records of public offense,otherwise seriously jeopardize an investigation or unduly delay a trial,No, 
312,U.S. Marshals Service,San Diego,03/16/2017 - 12:58,Records were requested for a criminal investigation pertaining to felony warrant CD270998.,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
",2017-02-06,2017-03-14,is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
315,Anaheim Police Department,Orange,03/16/2017 - 15:42,"Unknown suspect ordered pizza.  After contact with the unknown suspect, he showed the victim a gun and stole the pizza.  A caller ID number showed up when ordering the pizza.  A possible suspect was linked to the phone number and Facebook.",Device Only, ,"Basic subscriber information from a service provider
Location information
",2017-02-08,2017-02-08,was used as the means of committing a felony, ,No, 
316,Los Angeles Police Department,Los Angeles,03/17/2017 - 09:02,"Narcotics, Gang, Conspiracy.  Warrant served on March 13, 2017.",Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-12-01,2016-12-12,was used as the means of committing a felony, ,No, 
317,Los Angeles Police Department,Los Angeles,03/17/2017 - 09:02,"Narcotics, Gang, Conspiracy.  Warrant served on March 13, 2017.",Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-12-01,2016-12-12,was used as the means of committing a felony, ,No, 
318,Los Angeles Police Department,Los Angeles,03/17/2017 - 09:06,"Narcotics, Gang, Conspiracy.  Warrant was served on March 13, 2017.",Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-11-01,2016-11-19,was used as the means of committing a felony, ,No, 
320,Auburn Police Department,Placer,03/17/2017 - 12:30,Unknown suspect obtained information of my victim and attempted to open up a credit card in his name which is a violation of CA Penal Code 530.5(a) P.C,Business,Amazon.com/Sprint/AT&T,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
",2017-01-01,2017-01-30,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, 
322,Monterey Co. S.O.,Monterey,03/20/2017 - 09:11,The device owner was murdered on 02/12/2017. ,Device Only, ,"Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-12-12,2017-02-12,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
327,Stanislaus County Sheriff,Stanislaus,03/21/2017 - 15:05,Homicide and robbery investigation,Device Only, ,"Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-12-01,2017-03-13,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, 
330,Orange County District Attorney,Orange,03/22/2017 - 16:03,The suspect of the investigation was involved in human trafficking of several women and a minor in the Orange County area and across California. ,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-04-01,2016-09-19,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","endanger the life or physical safety of an individual
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
331,Orange County District Attorney,Orange,03/22/2017 - 16:04,The suspect of the investigation was involved in human trafficking of several women and a minor in the Orange County area and across California. ,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-04-01,2016-09-19,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","endanger the life or physical safety of an individual
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
332,"University of California, Irvine Police Department",Orange,03/22/2017 - 16:37,Grand Theft,Business,Apple Inc.,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
",2016-11-22,2017-03-22,was stolen or embezzled, ,No, 
333,"University of California, Irvine Police Department",Orange,03/22/2017 - 16:39,Grand Theft,Business,Apple Inc.,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
",2017-01-30,2017-03-22,was stolen or embezzled, ,No, 
334,"San Bernardino County Sheriff's Department, Specialized Enforcement Division",San Bernardino,03/23/2017 - 10:11,Criminal Investigation ,Device Only, ,"Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-07-01,2017-02-18,"tends to show that a felony has been committed or that a particular person has committed a felony
There is a warrent to arrest the person, Darryl Hunter, DOB: 02/02/70 for PC 664/187
","lead to flight from prosecution
otherwise seriously jeopardize an investigation or unduly delay a trial
",Yes,Murder Suspect 
335,"San Bernardino County Sheriff's Department, Specialized Enforcement Division",San Bernardino,03/23/2017 - 10:27,Criminal Investigation ,Device Only, ,"Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-01-17,2017-02-16,"tends to show that a felony has been committed or that a particular person has committed a felony
Warrent for Arrest: Terrence Brown DOB: 05/31//96
",lead to flight from prosecution,Yes,Murder Suspect
336,"San Bernardino County Sheriff's Department, Specialized Enforcement Division ",San Bernardino,03/23/2017 - 10:51,Criminal Investigation ,Device Only, ,"Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-01-01,2017-01-23,"tends to show that a felony has been committed or that a particular person has committed a felony
Warrant for Arrest 
","endanger the life or physical safety of an individual
lead to destruction of or tampering with evidence
",Yes,Murder Suspect. Warrant for arrest.  
337,"San Bernardino County Sheriff's Department, Specialized Enforcement Division",San Bernardino,03/23/2017 - 11:01,Criminal Investigation ,Device Only, ,"Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-01-01,2017-01-16,"tends to show that a felony has been committed or that a particular person has committed a felony
Warrant for Arrest: Terrence Brown 
",lead to flight from prosecution,Yes,Murder Suspect 
338,"San Bernardino County Sheriff's Department, Specialized Enforcement Division",San Bernardino,03/23/2017 - 11:09,Criminal Investigation ,Device Only, ,"Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-01-01,2017-02-16,"tends to show that a felony has been committed or that a particular person has committed a felony
Warrant for Arrest: Terrence Brown
",lead to flight from prosecution,Yes,Murder Suspect
339,"San Bernardino County Sheriff's Department, Specialized Enforcement Division ",San Bernardino,03/23/2017 - 11:18,Criminal Investigation ,Device Only, ,"Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-12-22,2017-01-21,"tends to show that a felony has been committed or that a particular person has committed a felony
Warrant for Arrest: Terrence Brown 
",lead to flight from prosecution,Yes,Murder Suspect 
340,"San Bernardino County Sheriff's Department, Specalized Enforcement Division ",San Bernardino,03/23/2017 - 11:37,Criminal Investigation ,Device Only, ,"Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-12-22,2017-01-22,"tends to show that a felony has been committed or that a particular person has committed a felony
Warrant for Arrest: Terrence Brown 
",lead to flight from prosecution,Yes,Murder Suspect 
341,San Bernardino County Sheriff's Department,San Bernardino,03/23/2017 - 11:44,Criminal Investigation ,Device Only, ,"Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-10-01,2017-01-12,"tends to show that a felony has been committed or that a particular person has committed a felony
Warrant for Arrest: Terrence Brown 
",lead to flight from prosecution,Yes,Murder Suspect 
342,San Bernardino County Sheriff's Department,San Bernardino,03/23/2017 - 11:53,Criminal Investigation ,Device Only, ,"Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-01-01,2017-01-22,"tends to show that a felony has been committed or that a particular person has committed a felony
Warrant for Arrest
",lead to flight from prosecution,Yes,Murder Suspect 
345,San Bernardino County Sheriff's Department,San Bernardino,03/24/2017 - 11:49,Criminal Investigation ,Device Only, ,"Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Communications (email, text, voice mail, or other communication)
",2017-02-03,2017-03-04,"tends to show that a felony has been committed or that a particular person has committed a felony
will assist in locating an indivigual who has or is commiting a felony
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
348,Sacramento County Sheriff's Department,Sacramento,03/27/2017 - 08:33,Homicide investigation in to the death of Anthony Emerson,Device Only, ,"Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Communications (email, text, voice mail, or other communication)
",2016-12-25,2016-12-29,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, 
350,Fresno County Sheriff's Office,Fresno,03/27/2017 - 14:35,Information related to a commercial burglary.,Device Only, ,"Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-02-13,2017-02-13,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
",lead to flight from prosecution,No, 
355,University of California Riverside Police Department,Riverside,03/28/2017 - 14:56,"On 02/04/17 V/Cousins reported that his credit card information had been used to order food and V/Cousins knew who made the order.  V/Grodz was contacted and she provided screen shots of the SnapChat conversation to show that the credit card number was given to her by the suspect to use.  V/Grodz and V/Gardella sent the suspect nude photos of themselves in return for using the credit card information.  After V/Grodz used the credit card the suspect told them that it was stolen and he lied about who he was.  V/Gardella received an additional text from the suspect demanding further nude photos from her or he would use the ones he already had and post them to social media sites. V/Gardella did not send any additional photos. 












",Business,Snap Inc.,"Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-01-27,2017-02-24,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
A provider of electronic communication service or remote computing service has records of evidence per 1524.3 PC
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
356,Orange County Sheriff's Department,Orange,03/28/2017 - 15:58,Murder of victim Frederick Temple,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-09-01,2017-02-28,tends to show that a felony has been committed or that a particular person has committed a felony,lead to destruction of or tampering with evidence,No, 
359,Los Angeles Police Department,Los Angeles,03/29/2017 - 09:51,"There is a warrant to arrest the person, and efforts to locate the person named on the warrant through conventional investigative means have been unsuccessful.",Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
",2016-12-08,2017-03-08,There is a warrant to arrest the person,lead to flight from prosecution,No, 
360,City of Redding Police,Shasta,03/29/2017 - 09:59,Drug sales investigation,Device Only, ,"Basic subscriber information from a service provider
 Addressing information (pen register or trap and trace)
 Location information
",2016-11-07,2016-12-07,"was used as the means of committing a felony
 is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
 tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, 
362,San Francisco Police Department,San Francisco,03/29/2017 - 11:39,Homicide,Business,Metro PCS,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-08-01,2017-12-20,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
",No, 
364,DEA,Los Angeles,03/29/2017 - 15:50,Narcotics trafficking ,Device Only, ,"Basic subscriber information from a service provider
Location information
",2016-10-04,2016-10-13,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
",otherwise seriously jeopardize an investigation or unduly delay a trial,No, 
368,"University of California, Irvine Police Department",Orange,03/29/2017 - 16:15,Grand Theft,Business,Apple Inc.,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
",2017-02-02,2017-03-29,was stolen or embezzled, ,No, 
369,"University of California, Irvine Police Department",Orange,03/29/2017 - 16:17,Grand Theft,Business,Apple Inc.,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
",2017-02-09,2017-03-29,was stolen or embezzled, ,No, 
370,Drug Enforcement Administration,Los Angeles,03/29/2017 - 16:23,narcotics trafficking.,Device Only, ,"Basic subscriber information from a service provider
Location information
",2017-02-02,2017-02-11,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
",otherwise seriously jeopardize an investigation or unduly delay a trial,No, 
371,Drug Enforcement Administration,Los Angeles,03/29/2017 - 16:53,narcotics trafficking,Device Only, ,"Basic subscriber information from a service provider
Location information
",2017-02-03,2017-02-12,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
",otherwise seriously jeopardize an investigation or unduly delay a trial,No, 
374,Sacramento Sheriff's Department,Sacramento,03/30/2017 - 11:57,Homicide per PC 187,Device Only, ,"Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-01-01,2017-12-20,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
375,San Jose Police Department,Santa Clara,03/30/2017 - 16:50,Cell phone located in the street in front of the home involved in a home invasion armed robbery. Unknown if the phone was dropped by a suspect fleeing the scene. Cell phone was submitted to the Santa Clara County Crime Lab. ,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-12-01,2016-12-31,tends to show that a felony has been committed or that a particular person has committed a felony,lead to destruction of or tampering with evidence,No, 
376,Tehama County Sheriff's Office,Tehama,04/03/2017 - 10:52,"Officer involved shooting, Northbound I-5, South of Sunset Hills, Cottonwood, CA 96022. ",Device Only, ,"Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-01-01,2017-03-29,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
378,Sacramento County Sheriff's Department,Sacramento,04/03/2017 - 11:56,Sungaya FLEMING's homicide investigation,Device Only, ,"Basic subscriber information from a service provider
 Other transactional  and account records from a service provider
 Location information
 Communications (email
 text
 voice mail
 or other communication)
",2016-11-12,2016-12-15,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, 
379,SFPD,San Francisco,04/03/2017 - 11:59,Assault with firearm,Device Only, ,Location information,2017-02-23,2017-03-05,was used as the means of committing a felony, ,No, 
380,Orange County Sheriff's Department,Orange,04/04/2017 - 06:06,"A fatal traffic collision which occurred on 05-05-16, at about 0336 hours, east of Overlake Drive on Lake Forest Drive in the city of Lake Forest.",Device Only, ,"Location information
 Stored files (picture
 Addressing information (pen register or trap and trace)
 documents
 or other files)
 Communications (email
 text
 voice mail
 or other communication)
 Basic subscriber information from a service provider
 Other transactional  and account records from a service provider
",2016-05-04,2016-05-05,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
381,lapd,Los Angeles,04/04/2017 - 06:07,narcotic investiation,Device Only, ,Location information,2016-12-15,2017-01-14,was used as the means of committing a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, 
382,LAPD,Los Angeles,04/04/2017 - 06:09,Narcotic investigation,Device Only, ,Location information,2016-12-15,2017-01-14,was used as the means of committing a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, 
384,Tulare County Sheriff's Department,Tulare,04/04/2017 - 14:47,Homicide ,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-10-28,2017-03-28,was used as the means of committing a felony,"endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
385,Tulare County Sheriff's Department,Tulare,04/04/2017 - 14:49,Homicide ,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-02-10,2017-03-10,was used as the means of committing a felony, ,No, 
386,Tulare County Sheriff's Department,Tulare,04/04/2017 - 15:01,Homicide,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-02-10,2017-03-16,tends to show that a felony has been committed or that a particular person has committed a felony,"endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
387,Tulare County Sheriff's Department,Tulare,04/04/2017 - 15:03,Homicide,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-02-10,2017-03-16,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
389,L.A. IMPACT,Los Angeles,04/04/2017 - 16:50,Narcotics Investigation,Device Only, ,"Location information
Communications (email, text, voice mail, or other communication)
",2017-01-05,2017-02-03,"is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
390,L.A. IMPACT,Los Angeles,04/04/2017 - 17:16,Narcotics Investigation,Device Only, ,Location information,2017-01-15,2017-02-14,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
391,Folsom PD,Sacramento,04/05/2017 - 08:54,Identity Theft Investigation--530.5 PC.  Unlawful use of credit card.,Business, ,"Basic subscriber information from a service provider
 Communications (email
 text
 voice mail
 or other communication)
 Other transactional  and account records from a service provider
 Location information
",2016-08-02,2016-08-25,was used as the means of committing a felony, ,No, 
395,Ventura County Sheriff's Department,Alameda,04/05/2017 - 11:31,Sales of narcotics.  Entire search warrant order sealed by court.,Business, ,"Basic subscriber information from a service provider
 Location information
",2016-09-21,2016-10-01,"was used as the means of committing a felony
 is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
 tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
 lead to destruction of or tampering with evidence
 otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
397,Sacramento Sheriff's Department,Sacramento,04/05/2017 - 12:43,Homicide,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-01-01,2017-03-31,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
398,L.A. IMPACT,Los Angeles,04/05/2017 - 12:50,Narcotics Investigation,Device Only, ,Location information,2017-01-04,2017-02-03,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
399,Newark Police Department,Alameda,04/05/2017 - 14:59,Possession of Child Pornography.,Business,Yahoo!,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
",2017-01-30,2017-04-05,"tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
402,LA IMPACT,Los Angeles,04/06/2017 - 07:11,Investigation,Device Only, ,"Basic subscriber information from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2016-12-01,2017-03-01,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
403,SAN BERNARDINO COUNTY SHERIFF'S DEPARTMENT,San Bernardino,04/06/2017 - 09:17,CRIMINAL INVESTIGATION ,Device Only, ,"Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Communications (email, text, voice mail, or other communication)
",2016-07-15,2016-08-15,"tends to show that a felony has been committed or that a particular person has committed a felony
THERE IS A WARRANT TO ARREST THE PERSON.WILL ASSIST IN LOCATING AN INDIVIGUAL WHO HAS COMMITED OR IS COMMITING A FELONY. 
",lead to flight from prosecution,No, 
404,SAN BERNARDINO COUNTY SHERIFF'S DEPARTMENT,San Bernardino,04/06/2017 - 09:29,CRIMINAL INVESTIGATION,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-12-06,2017-02-06,"tends to show that a felony has been committed or that a particular person has committed a felony
THERE IS A WARRANT FOR THE ARREST OF THE PERSON; ANTHONY PATCHIN 07/03/1989 FOR PC 212.5
","lead to flight from prosecution
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
405,Sacramento Police Department,Sacramento,04/06/2017 - 10:11,Homicide,Business,T-Mobile,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
",2017-01-10,2017-02-27,warrant existed for the person,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
406,Sacramento Sheriff,Sacramento,04/06/2017 - 13:25,Target of search warrant was arrested for illegal possession of a firearm.,Device Only, ,"Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2007-04-06,2017-03-31,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
407,Ventura Police Department,Ventura,04/06/2017 - 16:33,Child sexual exploitation,Business,"At&t, Charter Communications, Dropbox Legal Compliance","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2015-09-01,2017-04-06,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
", ,No, 
412,DEA,Los Angeles,04/10/2017 - 11:09,Narcotics Investigaton,Device Only, ,Location information,2017-04-06,2017-05-06,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
413,L.A. IMPACT,Los Angeles,04/10/2017 - 14:31,Narcotics Investigation,Device Only, ,Location information,2017-02-22,2017-03-24,tends to show that a felony has been committed or that a particular person has committed a felony,"endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
414,L.A. IMPACT,Los Angeles,04/10/2017 - 14:36,Narcotics Investigation,Device Only, ,Location information,2017-02-21,2017-03-23,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
415,Los Angeles County District Attorney's Office Bureau of Investigation,Los Angeles,04/11/2017 - 07:44,"Penal Code Section 502, unlawful access of computer system.",Business,"Twitter, Inc.","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2014-08-20,2017-01-10,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
